,Open,High,Low,Close,Volume,EMA,Bollinger_Upper,Bollinger_Lower,Close_Lag1,Close_Lag2,Close_Lag3,Close_Lag4,Close_Lag5,Close_Lag6,Close_Lag7,Close_Lag8,Close_Lag9,Close_Lag10,Close_Lag11,Close_Lag12,Close_Lag13,Close_Lag14,Close_Lag15,Close_Lag16,Close_Lag17,Close_Lag18,Close_Lag19,Trend,Stock_name
2022-12-21,241.69,245.615,240.11,244.43,23690607,238.58492788648,247.40935128009198,223.32864871990802,241.8,240.45,244.69,249.01,257.22,256.92,252.51,245.42,247.4,244.37,245.12,250.2,255.02,254.69,255.14,240.33,241.76,247.49,247.58,240.82680000000005,MSFT
2022-12-20,239.4,242.91,238.42,241.8,25150802,238.89112523062477,247.64211868594694,223.25388131405307,240.45,244.69,249.01,257.22,256.92,252.51,245.42,247.4,244.37,245.12,250.2,255.02,254.69,255.14,240.33,241.76,247.49,247.58,245.03,241.87360000000007,MSFT
2022-12-19,244.86,245.21,238.71,240.45,29696436,239.0395894943748,248.14568482408566,223.60231517591427,244.69,249.01,257.22,256.92,252.51,245.42,247.4,244.37,245.12,250.2,255.02,254.69,255.14,240.33,241.76,247.49,247.58,245.03,242.05,242.97640000000004,MSFT
2022-12-16,248.55,249.84,243.51,244.69,86101994,239.57772382824388,249.20698117735128,223.4290188226488,249.01,257.22,256.92,252.51,245.42,247.4,244.37,245.12,250.2,255.02,254.69,255.14,240.33,241.76,247.49,247.58,245.03,242.05,241.22,244.18480000000002,MSFT
2022-12-15,253.72,254.2,247.34,249.01,35568093,240.4760358446016,250.7448165292129,222.75718347078717,257.22,256.92,252.51,245.42,247.4,244.37,245.12,250.2,255.02,254.69,255.14,240.33,241.76,247.49,247.58,245.03,242.05,241.22,241.68,244.90560000000008,MSFT
2022-12-14,257.13,262.588,254.31,257.22,35410933,242.07069909749669,254.3637490463359,220.93725095366415,256.92,252.51,245.42,247.4,244.37,245.12,250.2,255.02,254.69,255.14,240.33,241.76,247.49,247.58,245.03,242.05,241.22,241.68,241.73,245.41200000000003,MSFT
2022-12-13,261.69,263.915,253.07,256.92,42196884,243.48491823106843,257.3800615340082,219.76193846599182,252.51,245.42,247.4,244.37,245.12,250.2,255.02,254.69,255.14,240.33,241.76,247.49,247.58,245.03,242.05,241.22,241.68,241.73,241.97,245.7284,MSFT
2022-12-12,247.445,252.54,247.17,252.51,30665069,244.34444982810953,259.1585364084544,219.6574635915456,245.42,247.4,244.37,245.12,250.2,255.02,254.69,255.14,240.33,241.76,247.49,247.58,245.03,242.05,241.22,241.68,241.73,241.97,241.55,246.03880000000004,MSFT
2022-12-09,244.695,248.31,244.16,245.42,20609743,244.4468831778134,259.50655888611425,220.9664411138858,247.4,244.37,245.12,250.2,255.02,254.69,255.14,240.33,241.76,247.49,247.58,245.03,242.05,241.22,241.68,241.73,241.97,241.55,247.11,246.19960000000003,MSFT
2022-12-08,244.84,248.74,243.06,247.4,22611757,244.72813239897403,259.7326466912373,222.76835330876278,244.37,245.12,250.2,255.02,254.69,255.14,240.33,241.76,247.49,247.58,245.03,242.05,241.22,241.68,241.73,241.97,241.55,247.11,242.98,246.50039999999998,MSFT
2022-12-07,244.83,246.16,242.205,244.37,20481522,244.69402455145269,259.0624785910786,225.38252140892138,245.12,250.2,255.02,254.69,255.14,240.33,241.76,247.49,247.58,245.03,242.05,241.22,241.68,241.73,241.97,241.55,247.11,242.98,224.51,246.67079999999999,MSFT
2022-12-06,250.82,251.86,243.78,245.12,22463727,244.73459364179052,257.37728759668926,229.3487124033107,250.2,255.02,254.69,255.14,240.33,241.76,247.49,247.58,245.03,242.05,241.22,241.68,241.73,241.97,241.55,247.11,242.98,224.51,228.87,246.78879999999998,MSFT
2022-12-05,252.01,253.819,248.06,250.2,23435294,245.25510853304857,257.01668096690577,231.8193190330943,255.02,254.69,255.14,240.33,241.76,247.49,247.58,245.03,242.05,241.22,241.68,241.73,241.97,241.55,247.11,242.98,224.51,228.87,227.87,246.9304,MSFT
2022-12-02,249.82,256.06,249.69,255.02,21528520,246.18509819656776,258.4169947257225,231.9630052742775,254.69,255.14,240.33,241.76,247.49,247.58,245.03,242.05,241.22,241.68,241.73,241.97,241.55,247.11,242.98,224.51,228.87,227.87,221.39,246.832,MSFT
2022-12-01,253.87,256.12,250.9156,254.69,26041524,246.9950888445137,259.5553543834057,232.31164561659432,255.14,240.33,241.76,247.49,247.58,245.03,242.05,241.22,241.68,241.73,241.97,241.55,247.11,242.98,224.51,228.87,227.87,221.39,214.25,246.82199999999997,MSFT
2022-11-30,240.57,255.33,239.86,255.14,47594239,247.77079466884575,260.6469291123535,232.6330708876465,240.33,241.76,247.49,247.58,245.03,242.05,241.22,241.68,241.73,241.97,241.55,247.11,242.98,224.51,228.87,227.87,221.39,214.25,220.1,247.08839999999998,MSFT
2022-11-29,241.4,242.79,238.21,240.33,17956313,247.0621475575271,260.09617516295646,233.76382483704347,241.76,247.49,247.58,245.03,242.05,241.22,241.68,241.73,241.97,241.55,247.11,242.98,224.51,228.87,227.87,221.39,214.25,220.1,228.17,247.01999999999998,MSFT
2022-11-28,246.08,246.65,240.8,241.76,24810271,246.5571811234769,259.73209670734985,234.60790329265015,247.49,247.58,245.03,242.05,241.22,241.68,241.73,241.97,241.55,247.11,242.98,224.51,228.87,227.87,221.39,214.25,220.1,228.17,232.13,246.04000000000002,MSFT
2022-11-25,247.31,248.7,246.73,247.49,9200772,246.64602101647912,259.5253621242537,235.69063787574626,247.58,245.03,242.05,241.22,241.68,241.73,241.97,241.55,247.11,242.98,224.51,228.87,227.87,221.39,214.25,220.1,228.17,232.13,235.87,244.906,MSFT
2022-11-23,245.105,248.28,244.27,247.58,19508462,246.7349713958621,259.1419539904081,237.0130460095918,245.03,242.05,241.22,241.68,241.73,241.97,241.55,247.11,242.98,224.51,228.87,227.87,221.39,214.25,220.1,228.17,232.13,235.87,226.75,243.744,MSFT
2022-11-22,243.59,245.31,240.71,245.03,19665699,246.57259316768474,259.13349965634177,237.08150034365826,242.05,241.22,241.68,241.73,241.97,241.55,247.11,242.98,224.51,228.87,227.87,221.39,214.25,220.1,228.17,232.13,235.87,226.75,231.32,242.4992,MSFT
2022-11-21,241.43,244.67,241.19,242.05,26394700,246.14187000885764,259.1164185557493,237.12358144425073,241.22,241.68,241.73,241.97,241.55,247.11,242.98,224.51,228.87,227.87,221.39,214.25,220.1,228.17,232.13,235.87,226.75,231.32,250.66,241.25240000000002,MSFT
2022-11-18,243.51,243.74,239.03,241.22,27613523,245.67312048420453,259.04670950920695,237.27029049079303,241.68,241.73,241.97,241.55,247.11,242.98,224.51,228.87,227.87,221.39,214.25,220.1,228.17,232.13,235.87,226.75,231.32,250.66,247.25,240.16040000000004,MSFT
2022-11-17,237.78,243.25,237.63,241.68,23123544,245.29282329523267,259.1776460859244,236.83835391407555,241.73,241.97,241.55,247.11,242.98,224.51,228.87,227.87,221.39,214.25,220.1,228.17,232.13,235.87,226.75,231.32,250.66,247.25,242.12,239.5124,MSFT
2022-11-16,242.79,243.8,240.42,241.73,24093272,244.9535067909248,259.14570769932,236.14229230067994,241.97,241.55,247.11,242.98,224.51,228.87,227.87,221.39,214.25,220.1,228.17,232.13,235.87,226.75,231.32,250.66,247.25,242.12,236.15,238.99280000000002,MSFT
2022-11-15,245.66,247.0,240.03,241.97,31390117,244.6693632870272,257.71264860024553,236.0503513997545,241.55,247.11,242.98,224.51,228.87,227.87,221.39,214.25,220.1,228.17,232.13,235.87,226.75,231.32,250.66,247.25,242.12,236.15,236.48,238.41960000000003,MSFT
2022-11-14,241.985,243.91,239.21,241.55,31123340,244.3722810692151,256.09279031530446,236.13320968469554,247.11,242.98,224.51,228.87,227.87,221.39,214.25,220.1,228.17,232.13,235.87,226.75,231.32,250.66,247.25,242.12,236.15,236.48,238.5,237.28879999999998,MSFT
2022-11-11,242.99,247.99,241.93,247.11,34620246,244.63301620548032,255.37628153589878,236.3097184641012,242.98,224.51,228.87,227.87,221.39,214.25,220.1,228.17,232.13,235.87,226.75,231.32,250.66,247.25,242.12,236.15,236.48,238.5,237.53,236.354,MSFT
2022-11-10,235.43,243.33,235.0,242.98,46268021,244.47558609067266,255.33914710247325,236.10285289752676,224.51,228.87,227.87,221.39,214.25,220.1,228.17,232.13,235.87,226.75,231.32,250.66,247.25,242.12,236.15,236.48,238.5,237.53,228.56,236.1748,MSFT
