,Open,High,Low,Close,Volume,EMA,Bollinger_Upper,Bollinger_Lower,Close_Lag1,Close_Lag2,Close_Lag3,Close_Lag4,Close_Lag5,Close_Lag6,Close_Lag7,Close_Lag8,Close_Lag9,Close_Lag10,Close_Lag11,Close_Lag12,Close_Lag13,Close_Lag14,Close_Lag15,Close_Lag16,Close_Lag17,Close_Lag18,Close_Lag19,Trend,Stock_name
2024-10-28,233.32,234.73,232.55,233.4,36087134,229.33724585811106,233.61331178223628,220.2966882177637,233.67,230.1,225.91,222.91,222.01,223.45,222.72,227.48,226.96,224.23,224.23,225.12,228.22,225.0,228.02,228.28,229.0,228.52,229.87,229.11760000000004,AAPL
2024-10-25,229.74,233.22,229.57,231.41,38802304,229.53465101448143,233.86556299143336,220.1984370085666,233.4,233.67,230.1,225.91,222.91,222.01,223.45,222.72,227.48,226.96,224.23,224.23,225.12,228.22,225.0,228.02,228.28,229.0,228.52,229.2944,AAPL
2024-10-24,229.98,230.82,228.41,230.57,31109503,229.63325567976892,234.12180721417462,220.14719278582544,231.41,233.4,233.67,230.1,225.91,222.91,222.01,223.45,222.72,227.48,226.96,224.23,224.23,225.12,228.22,225.0,228.02,228.28,229.0,229.356,AAPL
2024-10-23,234.08,235.144,227.76,230.76,52286979,229.74056466264807,234.35162447566088,220.0933755243391,230.57,231.41,233.4,233.67,230.1,225.91,222.91,222.01,223.45,222.72,227.48,226.96,224.23,224.23,225.12,228.22,225.0,228.02,228.28,229.2544,AAPL
2024-10-22,233.885,236.22,232.6,235.86,38846578,230.32336802811014,235.70648553523134,219.49651446476864,230.76,230.57,231.41,233.4,233.67,230.1,225.91,222.91,222.01,223.45,222.72,227.48,226.96,224.23,224.23,225.12,228.22,225.0,228.02,229.24800000000002,AAPL
2024-10-21,234.45,236.85,234.45,236.48,36254470,230.90971393019487,237.05200527991764,218.99699472008234,235.86,230.76,230.57,231.41,233.4,233.67,230.1,225.91,222.91,222.01,223.45,222.72,227.48,226.96,224.23,224.23,225.12,228.22,225.0,229.17560000000003,AAPL
2024-10-18,236.18,236.18,234.01,235.0,46431472,231.299264984462,237.94581173122066,219.10318826877932,236.48,235.86,230.76,230.57,231.41,233.4,233.67,230.1,225.91,222.91,222.01,223.45,222.72,227.48,226.96,224.23,224.23,225.12,228.22,229.33800000000005,AAPL
2024-10-17,233.43,233.85,230.52,232.15,32993810,231.3802873668942,238.27852203075753,219.16347796924248,235.0,236.48,235.86,230.76,230.57,231.41,233.4,233.67,230.1,225.91,222.91,222.01,223.45,222.72,227.48,226.96,224.23,224.23,225.12,229.44840000000005,AAPL
2024-10-16,231.6,232.12,229.84,231.78,34082240,231.4183552367138,238.54712305109084,219.56087694890917,232.15,235.0,236.48,235.86,230.76,230.57,231.41,233.4,233.67,230.1,225.91,222.91,222.01,223.45,222.72,227.48,226.96,224.23,224.23,229.88800000000003,AAPL
2024-10-15,233.61,237.49,232.37,233.85,64751367,231.64994045226487,238.9736718512609,220.09632814873916,231.78,232.15,235.0,236.48,235.86,230.76,230.57,231.41,233.4,233.67,230.1,225.91,222.91,222.01,223.45,222.72,227.48,226.96,224.23,230.08320000000003,AAPL
